Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1867,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1867,Huron,NA,NA,974,137,NA,NA,NA,NA
1867,Ontario,NA,NA,382,NA,NA,NA,NA,NA
1867,Superior,NA,NA,117,NA,NA,NA,NA,NA
1868,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1868,Huron,NA,NA,927,22,NA,NA,NA,NA
1868,Ontario,NA,NA,613,NA,NA,NA,NA,1
1868,Superior,NA,NA,92,8,NA,NA,NA,NA
1869,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1869,Huron,NA,NA,955,50,NA,NA,NA,NA
1869,Ontario,NA,NA,406,NA,NA,NA,NA,2
1869,Superior,NA,NA,79,8,NA,NA,NA,NA
1870,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1870,Huron,NA,NA,1143,121,NA,NA,NA,NA
1870,Ontario,NA,NA,264,NA,NA,NA,NA,10
1870,Superior,NA,NA,667,30,NA,NA,NA,NA
1871,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1871,Huron,NA,NA,1004,4,NA,NA,NA,NA
1871,Ontario,NA,NA,306,NA,NA,NA,NA,0
1871,Saint Clair,NA,NA,NA,NA,NA,NA,NA,NA
1871,Superior,NA,NA,169,0,NA,NA,NA,NA
1872,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1872,Huron,NA,NA,1094,25,NA,NA,NA,NA
1872,Ontario,NA,NA,187,NA,NA,NA,NA,0
1872,Saint Clair,NA,NA,NA,NA,NA,NA,NA,NA
1872,Superior,NA,NA,227,14,NA,NA,NA,NA
1873,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1873,Huron,NA,NA,945,17,NA,NA,NA,NA
1873,Ontario,NA,NA,241,NA,NA,NA,NA,0
1873,Saint Clair,NA,NA,NA,NA,NA,NA,NA,NA
1873,Superior,NA,NA,300,0,NA,NA,NA,NA
1874,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1874,Huron,NA,NA,2261,91,NA,NA,NA,NA
1874,Ontario,NA,NA,118,NA,NA,NA,NA,0
1874,Saint Clair,NA,NA,NA,137,NA,NA,NA,NA
1874,Superior,NA,NA,337,0,NA,NA,NA,NA
1875,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1875,Huron,NA,NA,1198,166,NA,NA,NA,NA
1875,Ontario,NA,NA,325,NA,NA,NA,NA,0
1875,Saint Clair,NA,NA,NA,260,NA,NA,NA,NA
1875,Superior,NA,NA,191,0,NA,NA,NA,NA
1876,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1876,Huron,NA,NA,1170,99,NA,NA,NA,NA
1876,Ontario,NA,NA,378,NA,NA,NA,NA,0
1876,Saint Clair,NA,NA,NA,99,NA,NA,NA,NA
1876,Superior,NA,NA,679,0,NA,NA,NA,NA
1877,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1877,Huron,NA,NA,1297,111,NA,NA,NA,NA
1877,Ontario,NA,NA,401,NA,NA,NA,NA,0
1877,Saint Clair,NA,NA,NA,130,NA,NA,NA,NA
1877,Superior,NA,NA,607,0,NA,NA,NA,NA
1878,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1878,Huron,NA,NA,577,125,NA,NA,NA,NA
1878,Ontario,NA,NA,362,NA,NA,NA,NA,0
1878,Saint Clair,NA,NA,NA,102,NA,NA,NA,NA
1878,Superior,NA,NA,98,115,NA,NA,NA,NA
1879,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1879,Huron,NA,NA,2678,112,NA,NA,NA,NA
1879,Michigan,NA,NA,0,NA,NA,NA,NA,NA
1879,Ontario,NA,NA,1008,NA,NA,NA,NA,0
1879,Saint Clair,NA,NA,NA,153,NA,NA,NA,NA
1879,Superior,NA,NA,189,0,NA,NA,NA,NA
1880,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1880,Huron,NA,NA,1471,33,NA,NA,NA,NA
1880,Michigan,NA,NA,0,NA,NA,NA,NA,NA
1880,Ontario,NA,NA,250,NA,NA,NA,NA,0
1880,Saint Clair,NA,NA,NA,149,NA,NA,NA,NA
1880,Superior,NA,NA,313,20,NA,NA,NA,NA
1881,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1881,Huron,NA,NA,1213,195,NA,NA,NA,NA
1881,Michigan,NA,NA,0,NA,NA,NA,NA,NA
1881,Ontario,NA,NA,382,NA,NA,NA,NA,1
1881,Saint Clair,NA,NA,NA,134,NA,NA,NA,NA
1881,Superior,NA,NA,181,0,NA,NA,NA,NA
1882,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1882,Huron,NA,NA,1982,862,NA,NA,NA,NA
1882,Michigan,NA,NA,0,NA,NA,NA,NA,NA
1882,Ontario,NA,NA,251,NA,NA,NA,NA,0
1882,Saint Clair,NA,NA,NA,159,NA,NA,NA,NA
1882,Superior,NA,NA,416,40,NA,NA,NA,NA
1883,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1883,Huron,NA,NA,3381,651,NA,NA,NA,NA
1883,Michigan,NA,NA,0,NA,NA,NA,NA,NA
1883,Ontario,NA,NA,317,NA,NA,NA,NA,0
1883,Saint Clair,NA,NA,NA,111,NA,NA,NA,NA
1883,Superior,NA,NA,852,38,NA,NA,NA,NA
1884,Erie,NA,NA,NA,NA,NA,NA,NA,NA
1884,Huron,NA,NA,4081,793,NA,NA,NA,NA
1884,Michigan,NA,NA,0,NA,NA,NA,NA,NA
1884,Ontario,NA,NA,377,NA,NA,NA,NA,0
1884,Saint Clair,NA,NA,NA,145,NA,NA,NA,NA
1884,Superior,NA,NA,646,11,NA,NA,NA,NA
1885,Erie,NA,NA,NA,2705,NA,NA,NA,1602
1885,Huron,NA,NA,9054,2342,NA,NA,NA,NA
1885,Michigan,NA,252,6431,675,NA,NA,NA,NA
1885,Ontario,NA,NA,329,NA,NA,NA,NA,0
1885,Saint Clair,NA,NA,NA,308,NA,NA,NA,NA
1885,Superior,NA,NA,4400,284,NA,NA,NA,NA
1886,Erie,NA,NA,NA,0,NA,NA,NA,0
1886,Huron,NA,NA,3318,515,NA,NA,NA,NA
1886,Michigan,NA,0,0,0,NA,NA,NA,NA
1886,Ontario,NA,NA,236,NA,NA,NA,NA,0
1886,Saint Clair,NA,NA,NA,70,NA,NA,NA,NA
1886,Superior,NA,NA,842,153,NA,NA,NA,NA
1887,Erie,NA,NA,NA,0,NA,NA,NA,0
1887,Huron,NA,NA,3231,305,NA,NA,NA,NA
1887,Michigan,NA,0,0,0,NA,NA,NA,NA
1887,Ontario,NA,NA,117,NA,NA,NA,NA,0
1887,Saint Clair,NA,NA,NA,90,NA,NA,NA,NA
1887,Superior,NA,NA,703,69,NA,NA,NA,NA
1888,Erie,NA,NA,NA,0,NA,NA,NA,0
1888,Huron,NA,NA,3607,638,NA,NA,NA,NA
1888,Michigan,NA,0,0,0,NA,NA,NA,NA
1888,Ontario,NA,NA,97,NA,NA,NA,NA,0
1888,Saint Clair,NA,NA,NA,92,NA,NA,NA,NA
1888,Superior,NA,NA,971,90,NA,NA,NA,NA
1889,Erie,NA,1072,NA,55,NA,NA,NA,3830
1889,Huron,NA,1007,5990,3174,NA,NA,NA,2417
1889,Michigan,NA,1729,5580,489,NA,NA,NA,2182
