"BandNumber","Capture","Sex","Wing","Weight","Culmen","Hallux","Tail","StandardTail","Tarsus","WingPitFat","KeelFat","Crop"
"745-49513","10/1/1993 10:45","M",240,340,16.1,19.3,192,NA,NA,NA,NA,NA
"1204-45804","9/12/1994 11:24","M",233,340,17.8,19.4,186,NA,NA,NA,NA,NA
"1204-45805","11/2/1994 12:26","M",239,183,17.3,19.2,182,NA,NA,NA,NA,NA
"1204-45806","9/19/1995 10:05","M",236,390,15.1,20.4,185,NA,NA,NA,NA,NA
"1705-24610","10/17/1996 13:05","M",247,375,16.9,18.2,160,NA,NA,NA,NA,NA
"1705-24628","9/24/1997 10:19","F",377,1119,25.4,23.9,226,224,24.7,1,1,1
"12044-5876","10/17/1997 14:35","M",213,339,23.5,13.8,184,181,71.2,0,1,0
"1204-45878","10/12/1998 14:30","F",243,334,17.5,19.2,196,NA,NA,NA,NA,NA
"1204-45867","9/20/1999 10:17","M",225,340,15.7,19.4,190,198,NA,NA,2,1
"22-06-35428","10/4/1999 15:10","F",252,540,20,28.8,185,211,NA,NA,1,1
"1204-45868","10/5/1999 9:38","M",237,365,17.3,19.9,195,191,NA,NA,3,NA
"1705-24637","10/6/1999 9:45","F",268,590,20,19.9,215,206,NA,NA,2,0.5
"1705-24639","10/14/1999 14:45","F",254,505,19.6,24,212,209,NA,NA,3,0.25
"1705-37411","9/16/2000 12:23","F",268,56,19.3,26.1,206,223,NA,NA,3,0.25
"1705-37412","9/25/2000 9:50","F",145,320,16.5,20.5,180,196,NA,NA,1,0.25
"2206-35432","10/18/2000 12:14","F",266,535,18.8,25.4,223,229,NA,NA,3,0
"1705-24640","10/21/2000 13:57","F",261,505,19.2,25.1,203,203,NA,NA,2,0
"1705-24641","9/22/2001 10:45","M",230,365,16.9,23.55,192,204,NA,NA,3,0.25
"804-00203","10/2/2001 13:15","M",230,340,16.1,20.2,198,202,NA,NA,2,0
"1750-24644","10/26/2001 12:20","F",254,515,19.5,23.8,218,221,NA,NA,3,0
"1705-24645","11/1/2001 13:45","F",253,540,19.1,22.6,209,214,NA,NA,3,0
"1705-24648","9/5/2002 12:45","F",260,565,20,24.2,216,215,NA,NA,2,0
"1705-24649","9/23/2002 14:23","F",255,960,19.7,42.8,200,213,NA,NA,3,0.75
"1705-37416","10/5/2002 14:27","F",260,565,19.7,54.5,205,212,NA,NA,2,0
"804-00205","10/6/2002 9:48","M",234,380,12.4,21.9,192,195,NA,NA,3,0
"2206-35435","10/11/2002 11:23","F",169,640,16.7,23.6,233,230,NA,NA,2.5,1
"804-00206","10/13/2002 10:00","M",223,390,15.9,20.6,181,187,NA,NA,2.5,1
"1705-37419","9/28/2003 10:11","M",230,330,15.7,19.4,188,196,NA,NA,1,0
"1705-37420","9/30/2003 12:05","F",252,470,19.5,28.4,211,213,NA,NA,3,0
"1204-45882","10/1/2003 10:07","M",233,335,16.3,21.3,187,194,NA,NA,3,0
"1204-45885","10/22/2003 12:19","M",230,360,16,22.1,186,190,NA,NA,3,0
