"name","year","month","day","lat","long","status","category","wind","pressure"
"Amy",1975,"Jun",30,35.9,-70.5,"tropical storm","0",60,987
"Caroline",1975,"Aug",31,24,-97,"hurricane","3",100,973
"Doris",1975,"Sep",2,36.4,-44.5,"hurricane","2",95,965
"Belle",1976,"Aug",9,30.9,-75.3,"hurricane","3",105,957
"Anita",1977,"Sep",2,24.2,-97.1,"hurricane","5",150,926
"Clara",1977,"Sep",8,35.5,-67.7,"hurricane","1",65,993
"Evelyn",1977,"Oct",15,42.4,-61.5,"hurricane","1",70,996
"Amelia",1978,"Jul",31,26.4,-97.4,"tropical storm","0",45,1005
"Bess",1978,"Aug",7,21.6,-96.6,"tropical storm","0",45,1006
"Cora",1978,"Aug",9,14,-44.9,"hurricane","1",80,980
"Juliet",1978,"Oct",9,19.3,-60.9,"tropical storm","0",45,1006
"David",1979,"Aug",30,16.6,-66.2,"hurricane","5",150,924
"Frederic",1979,"Sep",12,27.4,-87,"hurricane","4",115,943
"Henri",1979,"Sep",17,20.4,-94.3,"hurricane","1",75,983
"Harvey",1981,"Sep",15,28.4,-62.6,"hurricane","4",115,946
"Debby",1982,"Sep",18,38.8,-62.3,"hurricane","4",115,950
"Alicia",1983,"Aug",18,28.9,-95,"hurricane","3",100,963
"Barry",1983,"Aug",28,25.4,-97.4,"hurricane","1",70,986
"Diana",1984,"Sep",12,33.9,-77.7,"hurricane","4",115,949
"Josephine",1984,"Oct",12,31.4,-71.7,"hurricane","2",90,970
"Klaus",1984,"Nov",8,19.9,-61.4,"hurricane","1",80,984
"Ana",1985,"Jul",19,44.2,-60.3,"tropical storm","0",60,996
"Gloria",1985,"Sep",25,25.1,-70.9,"hurricane","4",125,920
"AL031987",1987,"Aug",10,28.4,-94.4,"tropical storm","0",40,1008
"AL061988",1988,"Sep",8,17.5,-20.5,"tropical storm","0",50,1002
"Gilbert",1988,"Sep",14,19.7,-83.8,"hurricane","5",160,888
"Joan",1988,"Oct",22,11.9,-83.2,"hurricane","4",125,932
"Chantal",1989,"Aug",1,28.7,-93.5,"hurricane","1",70,987
"Gabrielle",1989,"Sep",5,19.3,-55.7,"hurricane","4",125,944
"Hugo",1989,"Sep",15,14.6,-54.6,"hurricane","5",140,918
"Nana",1990,"Oct",18,24.1,-63.8,"hurricane","1",75,990
"Bob",1991,"Aug",19,36.5,-74.5,"hurricane","3",100,950
"AL041991",1991,"Aug",24,14.9,-23.9,"tropical depression","-1",30,1009
"Claudette",1991,"Sep",7,27,-61.5,"hurricane","4",115,944
"AL101991",1991,"Oct",24,13.4,-42.3,"tropical depression","-1",25,1009
"AL121991",1991,"Nov",1,38.2,-66.5,"hurricane","1",65,980
"AL021992",1992,"Jun",25,25.7,-85.5,"tropical depression","-1",30,1007
"AL031992",1992,"Jul",25,28.8,-62.7,"tropical depression","-1",30,1016
"Andrew",1992,"Aug",23,25.4,-75.8,"hurricane","5",150,922
"AL081992",1992,"Sep",25,11.1,-36.2,"tropical depression","-1",30,1011
"AL011993",1993,"Jun",1,25.4,-77.5,"tropical depression","-1",30,999
"AL101993",1993,"Sep",29,30,-63.2,"tropical depression","-1",30,1012
"AL021994",1994,"Jul",20,33,-79.1,"tropical depression","-1",30,1015
"AL051994",1994,"Aug",29,20.5,-93,"tropical depression","-1",30,1007
"AL081994",1994,"Sep",24,16.3,-85.1,"tropical depression","-1",30,1007
"AL091994",1994,"Sep",27,13.8,-20.8,"tropical depression","-1",30,1008
"AL101994",1994,"Sep",29,22,-85,"tropical depression","-1",30,1006
"Allison",1995,"Jun",4,24.7,-86.2,"hurricane","1",65,987
"AL061995",1995,"Aug",6,21.2,-96.7,"tropical depression","-1",30,1003
"Luis",1995,"Sep",4,17,-56.8,"hurricane","4",130,940
"AL141995",1995,"Sep",11,22.6,-52.2,"tropical depression","-1",30,1008
"Marilyn",1995,"Sep",16,19.7,-66.4,"hurricane","3",100,950
"Opal",1995,"Oct",4,26.6,-88.8,"hurricane","4",130,916
"Roxanne",1995,"Oct",10,20,-86.7,"hurricane","3",100,956
"Tanya",1995,"Oct",30,33.8,-51.8,"hurricane","1",75,977
"Cesar",1996,"Jul",28,12.2,-83.9,"hurricane","1",75,985
"Edouard",1996,"Aug",25,15.4,-47,"hurricane","4",125,933
"Hortense",1996,"Sep",13,25.9,-71.5,"hurricane","4",120,935
"Marco",1996,"Nov",20,13.8,-78.5,"hurricane","1",65,983
"AL061997",1997,"Jul",17,12.5,-52.7,"tropical depression","-1",30,1008
"Erika",1997,"Sep",8,23.2,-62.5,"hurricane","3",110,952
"Bonnie",1998,"Aug",23,24.1,-71.5,"hurricane","3",100,958
"Georges",1998,"Sep",20,16,-56.3,"hurricane","4",135,937
"Mitch",1998,"Oct",26,16.9,-83.1,"hurricane","5",155,905
"AL021999",1999,"Jul",2,20.2,-95,"tropical depression","-1",30,1006
"AL071999",1999,"Sep",6,22,-96.7,"tropical depression","-1",30,1006
"Floyd",1999,"Sep",13,23.6,-70,"hurricane","4",135,922
"Gert",1999,"Sep",16,17.8,-50.8,"hurricane","4",130,930
"AL111999",1999,"Oct",4,20.1,-94.1,"tropical depression","-1",30,1005
"AL121999",1999,"Oct",6,14.4,-44.8,"tropical depression","-1",30,1008
"Lenny",1999,"Nov",17,17.4,-64.8,"hurricane","4",135,933
"AL012000",2000,"Jun",7,21,-93,"tropical depression","-1",25,1008
"AL022000",2000,"Jun",23,9.6,-21,"tropical depression","-1",30,1009
"AL042000",2000,"Aug",8,28.2,-74.2,"tropical depression","-1",30,1011
"Alberto",2000,"Aug",12,35.9,-55.3,"hurricane","3",110,950
