"Item_Number","Set_Name","Year","Theme","Ages","Pieces","Unique_Pieces","Price","Amazon_Price","Pages","Minifigures","Packaging","Weight","Size","Availability"
41916,"Extra Dots - Series 2",2020,"DOTS","6+",109,6,3.99,3.44,NA,0,"Foil pack",NA,"Small","Retail"
41908,"Extra Dots - Series 1",2020,"DOTS","6+",109,6,3.99,3.99,NA,0,"Foil pack",NA,"Small","Retail"
11006,"Creative Blue Bricks",2020,"Classic","4+",52,28,4.99,4.93,37,0,"Box",NA,"Small","Retail"
11007,"Creative Green Bricks",2020,"Classic","4+",60,36,4.99,4.93,37,0,"Box",NA,"Small","Retail"
41901,"Funky Animals Bracelet",2020,"DOTS","6+",33,10,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
41902,"Sparkly Unicorn Bracelet",2020,"DOTS","6+",33,9,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
41903,"Cosmic Wonder Bracelet",2020,"DOTS","6+",33,9,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
41911,"Go Team! Bracelet",2020,"DOTS","6+",33,12,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
41912,"Love Birds Bracelet",2020,"DOTS","6+",33,10,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
41917,"Magic Forest Bracelet",2020,"DOTS","6+",33,9,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
41919,"Power Bracelet",2020,"DOTS","6+",33,12,4.99,4.99,NA,0,"Foil pack",NA,"Small","Retail"
10917,"Fire Truck",2020,"DUPLO","1½+",6,6,6.99,6.29,3,0,"Box with backing card",150,"Large","Retail"
10918,"Tow Truck",2020,"DUPLO","1½+",7,7,6.99,6.29,3,0,"Box with backing card",NA,"Large","Retail"
41386,"Stephanie's Summer Heart Box",2019,"Friends","6+",95,52,7.99,7.71,40,1,"Other",NA,"Small","Retail"
11010,"White Baseplate",2020,"Classic","4+",1,1,7.99,7.86,1,0,"Shrink-wrapped",NA,"Small","Retail"
10883,"My First Tow Truck",2019,"DUPLO","1½+",11,10,9.99,7.99,10,0,"Box",260,"Large","Retail"
10766,"Woody & RC",2019,"Disney","4+",69,36,9.99,7.99,28,1,"Box",NA,"Small","Retail"
41388,"Mia's Summer Heart Box",2019,"Friends","6+",85,41,7.99,7.99,36,1,"Other",NA,"Small","Retail"
41387,"Olivia's Summer Heart Box",2019,"Friends","6+",93,48,7.99,7.99,40,2,"Other",NA,"Small","Retail"
60239,"Police Patrol Car",2019,"City","5+",92,52,9.99,8.35,36,1,"Box",150,"Small","Retail - limited"
41452,"Prince Puppycorn Trike",2018,"Unikitty!","5-12",101,65,9.99,8.95,56,3,"Box",150,"Small","Retail"
71714,"Kai Avatar - Arcade Pod",2020,"NINJAGO","7+",49,31,9.99,8.99,3,2,"Box with backing card",NA,"Small","Retail"
71715,"Jay Avatar - Arcade Pod",2020,"NINJAGO","7+",47,28,9.99,8.99,3,2,"Box with backing card",NA,"Small","Retail"
10897,"My First Minnie Build",2019,"Disney","1½+",10,9,9.99,8.99,10,0,"Box",250,"Small","Retail"
10900,"Police Bike",2019,"DUPLO","2+",8,7,9.99,8.99,10,1,"Box",180,"Large","Retail"
10927,"Pizza Stand",2020,"DUPLO","2+",18,15,9.99,8.99,12,1,"Box",NA,"Large","Retail"
41360,"Emma's Mobile Veterinary Clinic ",2019,"Friends","4+",50,35,9.99,8.99,28,1,NA,100,"Small",NA
60212,"Barbecue Burn Out",2019,"City","4+",64,45,9.99,8.99,28,2,"Box",130,"Small","Retail"
60251,"Monster Truck",2020,"City","5+",55,34,9.99,8.99,32,1,"Box",140,"Small","Retail"
60206,"Jet Patrol",2019,"City","4+",54,45,9.99,8.99,36,2,"Box",140,"Small","Retail"
60219,"Construction Loader",2019,"City","5+",88,50,9.99,8.99,36,1,"Box",160,"Small","Retail"
60255,"Stunt Team",2020,"City","5+",62,34,9.99,8.99,36,2,"Box",100,"Small","Retail"
71706,"Cole's Speeder Car",2020,"NINJAGO","4+",52,32,9.99,8.99,36,2,"Box",NA,"Small","Retail"
41389,"Ice Cream Cart",2020,"Friends","6+",97,60,9.99,8.99,40,1,"Box",NA,"Small","Retail"
41396,"Puppy Playground",2020,"Friends","4+",57,41,9.99,8.99,40,1,"Box",NA,"Small","Retail"
60241,"Police Dog Unit",2020,"City","4+",67,48,9.99,8.99,40,2,"Box",120,"Small","Retail"
75263,"Resistance Y-wing Microfighter",2020,"Star Wars","6+",86,44,9.99,8.99,40,1,"Box",NA,"Small","Retail"
60249,"Street Sweeper",2020,"City","5+",89,55,9.99,8.99,48,1,"Box",140,"Small","Retail"
60250,"Mail Plane",2020,"City","5+",74,55,9.99,8.99,52,1,"Box",150,"Small","Retail"
60224,"Satellite Service Mission",2019,"City","5+",84,52,9.99,8.99,56,1,"Box",150,"Small","Retail"
60247,"Forest Fire",2020,"City","5+",84,49,9.99,8.99,56,1,"Box",130,"Small","Retail"
71700,"Jungle Raider",2020,"NINJAGO","7+",127,61,9.99,8.99,60,1,"Box",NA,"Small","Retail"
41451,"Unikitty Cloud Car",2018,"Unikitty!","5-12",126,83,9.99,9.17,60,3,"Box",140,"Small","Retail"
10860,"My First Race Car",2018,"DUPLO","1½-3",6,6,4.99,9.45,9,0,"Box",130,"Large","Retail"
60263,"Ocean Mini-Submarine",2020,"City","4+",41,30,9.99,9.49,37,1,"Box",130,"Small","Retail"
41425,"Olivia's Flower Garden",2020,"Friends","6+",92,61,9.99,9.49,48,2,"Box",NA,"Small","Retail"
43173,"Aurora's Royal Carriage",2020,"Disney","5+",62,35,9.99,9.72,28,1,"Box",NA,"Small","Retail"
71716,"Lloyd Avatar - Arcade Pod",2020,"NINJAGO","7+",48,28,9.99,9.84,3,2,"Box with backing card",NA,"Small","Retail"
43170,"Moana's Ocean Adventure",2020,"Disney","6+",46,39,9.99,9.84,36,1,"Box",NA,"Small","Retail"
21162,"The Taiga Adventure",2020,"Minecraft","7+",74,48,9.99,9.84,40,2,"Box",NA,"Small","Retail"
75264,"Kylo Ren's Shuttle Microfighter",2020,"Star Wars","6+",72,40,9.99,9.84,40,1,"Box",NA,"Small","Retail"
76141,"Thanos Mech",2020,"Marvel","6+",152,62,9.99,9.84,56,1,"Box",NA,"Small","Retail"
76140,"Iron Man Mech",2020,"Marvel","6+",148,61,9.99,9.84,64,1,"Box",NA,"Small","Retail"
76146,"Spider-Man Mech",2020,"Marvel","6+",152,62,9.99,9.84,68,1,"Box",NA,"Small","Retail"
31099,"Propeller Plane",2020,"Creator 3-in-1","6+",128,50,9.99,9.84,112,0,"Box",NA,"Small","Retail"
31100,"Sports Car",2020,"Creator 3-in-1","6+",134,60,9.99,9.84,120,0,"Box",NA,"Small","Retail"
76158,"Batboat The Penguin Pursuit!",2020,"Batman","4+",54,41,9.99,9.89,44,2,"Box",NA,"Small","Retail"
11001,"Bricks and Ideas",2019,"Classic","4+",123,59,9.99,9.97,42,0,NA,170,"Small",NA
76089,"Mighty Micros: Scarlet Spider vs. Sandman",2018,"Marvel","5-12",89,49,9.99,9.99,7,2,"Box",NA,"Small","Retail"
10870,"Farm Animals",2018,"DUPLO","2-5",16,13,9.99,9.99,8,0,"Box",NA,"Large",NA
10898,"My First Mickey Build",2019,"Disney","1½+",9,8,9.99,9.99,10,0,"Box",240,"Small","Retail"
60191,"Arctic Exploration Team",2018,"City","5-12",70,47,9.99,10,28,3,"Box",120,"Small","Retail"
21157,"BigFig Pig with Baby Zombie",2020,"Minecraft","7+",159,47,14.99,10.99,40,0,"Box",NA,"Small","Retail"
31087,"Dune Buggy",2019,"Creator 3-in-1","6+",147,65,12.99,11.92,120,0,"Box",250,"Small","Retail"
21156,"BigFig Creeper and Ocelot",2020,"Minecraft","7+",184,65,14.99,11.99,48,0,"Box",NA,"Small","Retail"
31101,"Monster Truck",2020,"Creator 3-in-1","7+",163,54,14.99,11.99,136,0,"Box",NA,"Small","Retail"
60237,"Curves & Crossroad",2019,"City","5+",2,2,14.99,11.99,NA,0,"Shrink-wrapped",200,"Small","Retail"
70822,"Unikitty's Sweetest Friends EVER!",2019,"THE LEGO MOVIE 2","5+",76,50,9.99,12.5,36,3,"Box",80,"Small","Retail"
41357,"Olivia's Heart Box",2019,"Friends","6+",85,38,7.99,12.89,32,2,NA,140,"Small",NA
42101,"Buggy",2020,"Technic","7+",117,47,12.99,12.93,48,0,"Box",NA,"Small","Retail"
75891,"Chevrolet Camaro ZL1 Race Car",2019,"Speed Champions","7+",198,81,14.99,12.93,60,1,"Box",230,"Small","Retail"
75892,"McLaren Senna",2019,"Speed Champions","7+",219,92,14.99,12.93,64,1,"Box",250,"Small","Retail"
31086,"Futuristic Flyer",2019,"Creator 3-in-1","7+",157,65,14.99,12.93,136,0,"Box",270,"Small","Retail"
31088,"Deep Sea Creatures",2019,"Creator 3-in-1","7+",230,83,14.99,12.93,176,0,"Box",310,"Small","Retail"
41607,"Gamora",2018,"BrickHeadz","10+",136,51,9.99,12.98,48,0,"Box",NA,"Small","Retail"
42102,"Mini CLAAS XERION",2020,"Technic","7+",130,45,12.99,12.99,56,0,"Box",NA,"Small","Retail"
75895,"1974 Porsche 911 Turbo 3.0",2019,"Speed Champions","7+",180,75,14.99,13.29,80,1,"Box",NA,"Small","Retail"
75266,"Sith Troopers Battle Pack",2020,"Star Wars","6+",105,51,14.99,13.47,40,3,"Box",NA,"Small","Retail"
75267,"Mandalorian Battle Pack",2020,"Star Wars","6+",102,59,14.99,13.47,44,4,"Box",NA,"Small","Retail"
10714,"Blue Baseplate",2018,"Classic","4-99",1,1,7.99,13.48,NA,0,NA,100,"Small","Retail"
10925,"Playroom",2020,"DUPLO","2+",17,16,14.99,13.49,2,2,"Box",NA,"Large","Retail"
60236,"Straight & T-Junction ",2019,"City","5+",2,2,14.99,13.49,NA,0,"Shrink-wrapped",200,"Small","Retail"
75246,"Death Star Cannon",2019,"Star Wars","7+",159,79,19.99,13.85,80,2,"Box",NA,"Small","Retail"
10401,"Rainbow Fun",2018,"Classic","5-99",85,42,4.99,14,37,0,"Box",NA,"Small","Retail"
41608,"Han Solo",2018,"Star Wars","10+",141,51,9.99,14,44,0,"Box",NA,"Small","Retail"
76094,"Mighty Micros: Supergirl vs. Brainiac",2018,NA,"5-12",80,50,9.99,14.09,7,2,"Box",NA,NA,"Retail"
60190,"Arctic Ice Glider",2018,"City","5-12",50,30,6.99,14.14,28,1,"Box",80,"Small","Retail"
41169,"Olaf",2019,"LEGO Frozen 2","6+",122,61,14.99,14.24,52,0,"Box",NA,"Small","Retail"
60238,"Switch Tracks",2018,"City","5-12",8,4,15.99,14.39,NA,0,"Box",280,"Small","Retail"
70682,"Spinjitzu Slam - Jay",2019,"NINJAGO","7+",72,37,9.99,14.43,44,1,"Box",NA,"Small","Retail"
71372,"Cat Mario Power-Up Pack",2020,"LEGO Super Mario","6+",11,9,9.99,14.52,NA,0,"Box",NA,"Small","Retail"
41385,"Emma's Summer Heart Box",2019,"Friends","6+",86,45,7.99,14.67,36,1,"Other",NA,"Small","Retail"
41905,"Rainbow Jewellery Stand",2020,"DOTS","6+",213,42,14.99,14.97,4,0,"Plastic canister",NA,"Small","Retail"
10926,"Bedroom",2020,"DUPLO","2+",16,16,14.99,14.99,2,2,"Box",NA,"Large","Retail"
41904,"Animal Picture Holders",2020,"DOTS","6+",423,54,14.99,14.99,4,0,"Plastic canister",NA,"Small","Retail"
