"year","month","vehicle","volume"
2003,1,"Auto",400948
2003,1,"Truck",110495
2003,2,"Auto",365354
2003,2,"Truck",103314
2003,3,"Auto",440150
2003,3,"Truck",111275
2003,4,"Auto",399145
2003,4,"Truck",112760
2003,5,"Auto",491003
2003,5,"Truck",115019
2003,6,"Auto",553116
2003,6,"Truck",108794
2003,7,"Auto",691537
2003,7,"Truck",106158
2003,8,"Auto",733750
2003,8,"Truck",106809
2003,9,"Auto",520614
2003,9,"Truck",112310
2003,10,"Auto",519195
2003,10,"Truck",118641
2003,11,"Auto",432698
2003,11,"Truck",105846
2003,12,"Auto",393921
2003,12,"Truck",99470
2004,1,"Auto",344298
2004,1,"Truck",97985
2004,2,"Auto",392198
2004,2,"Truck",103351
2004,3,"Auto",437523
2004,3,"Truck",119244
2004,4,"Auto",424254
2004,4,"Truck",112034
2004,5,"Auto",473829
2004,5,"Truck",111023
2004,6,"Auto",524260
2004,6,"Truck",115512
2004,7,"Auto",645093
2004,7,"Truck",105434
2004,8,"Auto",665250
2004,8,"Truck",113131
2004,9,"Auto",508077
2004,9,"Truck",109493
2004,10,"Auto",448206
2004,10,"Truck",107223
2004,11,"Auto",397459
2004,11,"Truck",104886
2004,12,"Auto",377461
2004,12,"Truck",96367
2005,1,"Auto",339552
2005,1,"Truck",101303
2005,2,"Auto",343929
2005,2,"Truck",101348
2005,3,"Auto",419777
2005,3,"Truck",113897
2005,4,"Auto",408026
2005,4,"Truck",107117
2005,5,"Auto",476133
2005,5,"Truck",111239
2005,6,"Auto",525924
2005,6,"Truck",112789
2005,7,"Auto",687072
2005,7,"Truck",95595
2005,8,"Auto",673831
2005,8,"Truck",113512
2005,9,"Auto",491141
2005,9,"Truck",110444
2005,10,"Auto",456093
2005,10,"Truck",111088
2005,11,"Auto",402047
2005,11,"Truck",112444
2005,12,"Auto",391767
2005,12,"Truck",98477
2006,1,"Auto",369555
2006,1,"Truck",107441
2006,2,"Auto",346293
2006,2,"Truck",103589
2006,3,"Auto",438959
2006,3,"Truck",118805
2006,4,"Auto",435355
2006,4,"Truck",104743
2006,5,"Auto",477406
2006,5,"Truck",116778
2006,6,"Auto",505501
2006,6,"Truck",114751
2006,7,"Auto",664620
2006,7,"Truck",100357
2006,8,"Auto",654037
2006,8,"Truck",116235
2006,9,"Auto",473740
2006,9,"Truck",106720
2006,10,"Auto",415371
2006,10,"Truck",106705
2006,11,"Auto",393531
2006,11,"Truck",109436
2006,12,"Auto",386715
2006,12,"Truck",96083
2007,1,"Auto",332775
2007,1,"Truck",109104
2007,2,"Auto",296912
2007,2,"Truck",102040
2007,3,"Auto",397163
2007,3,"Truck",116785
2007,4,"Auto",376560
2007,4,"Truck",109511
2007,5,"Auto",432701
2007,5,"Truck",118340
2007,6,"Auto",496744
2007,6,"Truck",110016
2007,7,"Auto",612873
2007,7,"Truck",105314
2007,8,"Auto",639811
2007,8,"Truck",113481
2007,9,"Auto",471804
2007,9,"Truck",103894
2007,10,"Auto",461554
2007,10,"Truck",120585
2007,11,"Auto",423838
2007,11,"Truck",109604
2007,12,"Auto",370599
2007,12,"Truck",91685
2008,1,"Auto",326529
2008,1,"Truck",109952
2008,2,"Auto",319127
2008,2,"Truck",104193
2008,3,"Auto",403013
2008,3,"Truck",111190
2008,4,"Auto",363535
2008,4,"Truck",113382
2008,5,"Auto",435215
2008,5,"Truck",111528
2008,6,"Auto",455120
2008,6,"Truck",112868
2008,7,"Auto",580463
2008,7,"Truck",107620
2008,8,"Auto",631622
2008,8,"Truck",105948
2008,9,"Auto",421550
2008,9,"Truck",113787
2008,10,"Auto",416732
2008,10,"Truck",113094
2008,11,"Auto",368378
2008,11,"Truck",93181
2008,12,"Auto",331739
2008,12,"Truck",88742
2009,1,"Auto",293422
2009,1,"Truck",88208
2009,2,"Auto",301998
2009,2,"Truck",86327
2009,3,"Auto",373376
2009,3,"Truck",93630
2009,4,"Auto",359219
2009,4,"Truck",92728
2009,5,"Auto",421864
2009,5,"Truck",91502
2009,6,"Auto",397604
2009,6,"Truck",93115
2009,7,"Auto",526939
2009,7,"Truck",92970
2009,8,"Auto",571237
2009,8,"Truck",91706
2009,9,"Auto",424341
2009,9,"Truck",99267
2009,10,"Auto",393941
2009,10,"Truck",101694
2009,11,"Auto",365597
2009,11,"Truck",93487
2009,12,"Auto",347382
2009,12,"Truck",92778
2010,1,"Auto",294707
2010,1,"Truck",94199
2010,2,"Auto",276819
2010,2,"Truck",89780
2010,3,"Auto",375380
2010,3,"Truck",109657
2010,4,"Auto",365035
