specimen,tooth_class,num_amtl,sockets,prop_lost,age,prob_male,genus,pop
AMNH99.1/100,Anterior,0,12,0,37.5591283,0.5,Homo sapiens,Alaska
AMNH99.1/100,Posterior,0,12,0,37.5591283,0.5,Homo sapiens,Alaska
AMNH99.1/100,Premolar,0,8,0,37.5591283,0.5,Homo sapiens,Alaska
AMNH99.1/101,Anterior,3,9,0.333333333333333,39.0329661,0.25,Homo sapiens,Alaska
AMNH99.1/101,Posterior,5,7,0.714285714285714,39.0329661,0.25,Homo sapiens,Alaska
AMNH99.1/101,Premolar,2,6,0.333333333333333,39.0329661,0.25,Homo sapiens,Alaska
AMNH99.1/102,Anterior,1,12,0.083333333333333,34.8934044,0.25,Homo sapiens,Alaska
AMNH99.1/102,Posterior,0,12,0,34.8934044,0.25,Homo sapiens,Alaska
AMNH99.1/102,Premolar,0,8,0,34.8934044,0.25,Homo sapiens,Alaska
AMNH99.1/103,Anterior,0,12,0,29.6004044,0.5,Homo sapiens,Alaska
AMNH99.1/103,Posterior,0,12,0,29.6004044,0.5,Homo sapiens,Alaska
AMNH99.1/103,Premolar,0,8,0,29.6004044,0.5,Homo sapiens,Alaska
AMNH99.1/104,Anterior,0,12,0,44.0440145,0.25,Homo sapiens,Alaska
AMNH99.1/104,Posterior,0,12,0,44.0440145,0.25,Homo sapiens,Alaska
AMNH99.1/104,Premolar,0,8,0,44.0440145,0.25,Homo sapiens,Alaska
AMNH99.1/105,Anterior,0,12,0,32.5480799,0.75,Homo sapiens,Alaska
AMNH99.1/105,Posterior,0,12,0,32.5480799,0.75,Homo sapiens,Alaska
AMNH99.1/105,Premolar,0,8,0,32.5480799,0.75,Homo sapiens,Alaska
AMNH99.1/107,Anterior,1,8,0.125,56.1166683,0.5,Homo sapiens,Alaska
AMNH99.1/107,Posterior,2,10,0.2,56.1166683,0.5,Homo sapiens,Alaska
AMNH99.1/107,Premolar,0,7,0,56.1166683,0.5,Homo sapiens,Alaska
AMNH99.1/109,Anterior,1,12,0.083333333333333,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/109,Posterior,5,10,0.5,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/109,Premolar,0,8,0,43.749247,0.75,Homo sapiens,Alaska
AMNH99.1/110,Anterior,1,5,0.2,41.9806416,0.75,Homo sapiens,Alaska
AMNH99.1/110,Posterior,0,6,0,41.9806416,0.75,Homo sapiens,Alaska
AMNH99.1/110,Premolar,1,4,0.25,41.9806416,0.75,Homo sapiens,Alaska
AMNH99.1/111,Anterior,0,12,0,42.2754092,0.5,Homo sapiens,Alaska
AMNH99.1/111,Posterior,0,12,0,42.2754092,0.5,Homo sapiens,Alaska
AMNH99.1/111,Premolar,0,8,0,42.2754092,0.5,Homo sapiens,Alaska
AMNH99.1/112,Anterior,2,12,0.166666666666667,43.749247,0.25,Homo sapiens,Alaska
AMNH99.1/112,Posterior,2,11,0.181818181818182,43.749247,0.25,Homo sapiens,Alaska
AMNH99.1/112,Premolar,2,8,0.25,43.749247,0.25,Homo sapiens,Alaska
AMNH99.1/160,Anterior,1,4,0.25,55,0.25,Homo sapiens,Alaska
AMNH99.1/160,Posterior,3,5,0.6,55,0.25,Homo sapiens,Alaska
AMNH99.1/160,Premolar,1,4,0.25,55,0.25,Homo sapiens,Alaska
AMNH99.1/59,Anterior,6,12,0.5,48.8,0.25,Homo sapiens,Alaska
AMNH99.1/59,Posterior,6,6,1,48.8,0.25,Homo sapiens,Alaska
AMNH99.1/59,Premolar,2,8,0.25,48.8,0.25,Homo sapiens,Alaska
AMNH99.1/59-B,Anterior,0,6,0,40,0.25,Homo sapiens,Alaska
AMNH99.1/59-B,Posterior,0,6,0,40,0.25,Homo sapiens,Alaska
AMNH99.1/59-B,Premolar,0,4,0,40,0.25,Homo sapiens,Alaska
AMNH99.1/60,Anterior,0,6,0,37.8538959,0.5,Homo sapiens,Alaska
AMNH99.1/60,Posterior,2,6,0.333333333333333,37.8538959,0.5,Homo sapiens,Alaska
AMNH99.1/60,Premolar,0,4,0,37.8538959,0.5,Homo sapiens,Alaska
AMNH99.1/61,Anterior,0,12,0,34.3166852,0.75,Homo sapiens,Alaska
AMNH99.1/61,Posterior,0,12,0,34.3166852,0.75,Homo sapiens,Alaska
AMNH99.1/61,Premolar,0,8,0,34.3166852,0.75,Homo sapiens,Alaska
AMNH99.1/64,Anterior,4,12,0.333333333333333,43.1468959,0.25,Homo sapiens,Alaska
AMNH99.1/64,Posterior,2,10,0.2,43.1468959,0.25,Homo sapiens,Alaska
AMNH99.1/64,Premolar,0,8,0,43.1468959,0.25,Homo sapiens,Alaska
